BACON and BLOODY MARY Breakfast	No Drama Camp	Food	['Friday, August 30th, 2019, 8 AM – 9:30 AM ']	No Drama Bar wants to treat you because you deserve it! You had a really long night or got up early either way you deserve a Great Bloody Mary and Bacon Breakfast. Spicy or Regular Bloody Mary with a Slice of Bacon your pick.
Rejuvenating Yoga	Heart Beats	Class/Workshop	['Friday, August 30th, 2019, 8 AM – 9 AM ']	Potato princess Jocelyn leads a rejuvenating yoga class to get your Friday started right! Meet us in the cuddle dome!
24X7 Golf Course	Palm Tree Country Club	Game	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM ']	Burners are welcome to enjoy our 5 hole golf course anytime. Guests will be given as many golf balls they can fit into their mouth to play with.
Do you upper limit your own happiness?	Naked Heart	Class/Workshop	['Friday, August 30th, 2019, 8 AM – 9 AM ']	A limit is set at childhood. Approach it and you trigger a sabotaging response. Expand your tolerance and accept more joy in your life. Based on the work of Gay Hendricks.
Coffee Service	Cafe De La Fin du Monde	Food	['Monday, August 26th, 2019, 8 AM – 2 PM <--> Tuesday, August 27th, 2019, 8 AM – 2 PM <--> Wednesday, August 28th, 2019, 8 AM – 2 PM <--> Thursday, August 29th, 2019, 8 AM – 2 PM <--> Friday, August 30th, 2019, 8 AM – 2 PM <--> Saturday, August 31st, 2019, 8 AM – 2 PM <--> Sunday, September 1st, 2019, 8 AM – 2 PM ']	http://www.experientialcommunity.org/cafe-de-la-fin-du-monde
Morning Transformational Coffee	Nose Fish	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM ']	https://nosefish.org/
Facing the father wound (men-only workshop)	Naked Heart	Class/Workshop	['Friday, August 30th, 2019, 8 AM – 9:30 AM ']	We come into the world helpless, dependent and needing acceptance. The father wound is what happens if something in this first key relationship goes wrong. It is particularly deep with many gay and queer men – who often grow up sensing their behavior makes their fathers uncomfortable. This workshop involves a healing ritual.
DragonCamp Armory Bikini workshop	7:30 & F	Class/Workshop	['Monday, August 26th, 2019, 8 AM – 12 PM <--> Tuesday, August 27th, 2019, 8 AM – 12 PM <--> Wednesday, August 28th, 2019, 8 AM – 12 PM <--> Thursday, August 29th, 2019, 8 AM – 12 PM <--> Friday, August 30th, 2019, 8 AM – 12 PM <--> Saturday, August 31st, 2019, 8 AM – 12 PM ']	dragoncamparmory@gmail.com
Tea Time	HEX Collective	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM <--> Saturday, August 31st, 2019, 8 AM – 10 AM ']	http://www.hexcollective.org
Morning Yoga	HeeBeeGeeBee Healers	Class/Workshop	['Tuesday, August 27th, 2019, 8 AM – 9:15 AM <--> Thursday, August 29th, 2019, 8 AM – 9:15 AM <--> Friday, August 30th, 2019, 8 AM – 9:15 AM <--> Saturday, August 31st, 2019, 8 AM – 9:15 AM ']	http://www.heebeegeebeehealers.org
Body Painting for the Critical Tits Parade	Bike Repair Conflux	Parade	['Friday, August 30th, 2019, 8 AM – 1 PM ']	Calling all Goddesses who want to participate in one of the most iconic events of Burning Man-the Critical Tits Parade. The Bike Repair Conflux (aka Love Hub), located at 4:30 and G, is joyfully supporting this honoring of the Feminine by offering body painting in the hours before the event. Be loud, be proud, and be colorful!
Orphan Item Station	Orphan Asylum	Other	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM ']	Come accessorize with Skippy's Orphan Item Station. Leave an item/ take an item, help find a home for all this random fun, weird, and useful crap! A mix of clothes and other knick knacks free for the taking, outisde Orphan Asylum all week at 7:45 and G!
Vipassana Meditation	Run Free Camp	Care/Support	['Monday, August 26th, 2019, 8 AM – 9 AM <--> Tuesday, August 27th, 2019, 8 AM – 9 AM <--> Wednesday, August 28th, 2019, 8 AM – 9 AM <--> Thursday, August 29th, 2019, 8 AM – 9 AM <--> Friday, August 30th, 2019, 8 AM – 9 AM ']	Connect and ground to the innate wisdom of unfolding. Silent 1hr meditation.
5 Senses 5 Elements	Tautology	Class/Workshop	['Tuesday, August 27th, 2019, 8 AM – 9 AM <--> Friday, August 30th, 2019, 8 AM – 9 AM ']	A guided group workshop using our 5 senses and Sufi breathing techniques to merge the self with the 5 elements Earth, Water, Fire, Air & Ether
Bouldering Wall	Camp 88	Game	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM ']	It’s all choss! Come hang out with us. Might be a tough up, but there’s always a soft come down. 24/7. Brought to you by Camp 88, celebrating 10 years on the playa.
Granola Bar	Camp 88	Food	['Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM ']	Good night? Start your day off right! Enjoy some handmade granola with alternative milk. We love you! Brought to you by Camp 88, celebrating 10 years on the playa.
Bacon Pancake and Reggae Dance Party	Organic Fruit & Veggie Camp	Food	['Friday, August 30th, 2019, 8 AM – 12 PM ']	https://www.organic-brc.com/
PJ Pancake Breakfast	BuddhaCamp @ the Lotus Dome	Food	['Friday, August 30th, 2019, 8 AM – 9 AM ']	Don your PJ's (or stumble out of bed in them) and eat pancakes. Prizes for best PJs. Kids go to the front of the line.
Hot Mess Yoga	Paradise Motel	Class/Workshop	['Monday, August 26th, 2019, 8 AM – 9 AM <--> Wednesday, August 28th, 2019, 8 AM – 9 AM <--> Friday, August 30th, 2019, 8 AM – 9 AM ']	https://paradisemotel.camp
Java Joy Cafe Hut	Silicon Village	Ritual/Ceremony	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM <--> Saturday, August 31st, 2019, 8 AM – 10 AM ']	http://siliconvillageburners.org/pods/joyism/
Morning Cup Of Joe	Naked Bead	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM <--> Saturday, August 31st, 2019, 8 AM – 10 AM ']	http://nakedbead.com/
BookCrossing Zone	Mobility Camp	Kid-friendly	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM <--> Sunday, September 1st, 2019, 8 AM – 8 PM ']	https://mobilitycamp.org
Vocal Alchemy {A Sonic Soundbath} Andrea Nicholas	Camp Mystic	Ritual/Ceremony	['Friday, August 30th, 2019, 8 AM – 9 AM ']	A journey through sound and vibration channeled through the vocal resonance.
Test your Breakfast Taste Buds!	Random Acts of Cupcake	Food	['Monday, August 26th, 2019, 8 AM – 10 AM <--> Tuesday, August 27th, 2019, 8 AM – 10 AM <--> Wednesday, August 28th, 2019, 8 AM – 10 AM <--> Thursday, August 29th, 2019, 8 AM – 10 AM <--> Friday, August 30th, 2019, 8 AM – 10 AM ']	Think you know your tastebuds early in the morning? Swing by Random Acts and nuzzle up to our giant 10 foot tall breakfast muffin. We'll find something tasty to cram in your pie hole. Maybe you'll guess what we put in there. Dollar pancake? Mini muffin? Powder doughnut? Stop on by and find out what the breakfast gods decide!
Jump the Shark	Orphan Asylum	Other	['Monday, August 26th, 2019, 8 AM – 8 PM <--> Tuesday, August 27th, 2019, 8 AM – 8 PM <--> Wednesday, August 28th, 2019, 8 AM – 8 PM <--> Thursday, August 29th, 2019, 8 AM – 8 PM <--> Friday, August 30th, 2019, 8 AM – 8 PM <--> Saturday, August 31st, 2019, 8 AM – 8 PM <--> Sunday, September 1st, 2019, 8 AM – 8 PM ']	Literally jump the shark. Orphan Asylum will have a sweet bike ramp and a shark to jump during daylight hours all week! Come jump the shark! (No sharks harmed) On the road outside Orphan Asylum at 7:45 and G!
Nicolas Cage Coloring Chill Space	Camp Shark Cage	Gathering/Party	['Monday, August 26th, 2019, 8 AM – 8 AM <--> Tuesday, August 27th, 2019, 8 AM – 8 AM <--> Wednesday, August 28th, 2019, 8 AM – 8 AM <--> Thursday, August 29th, 2019, 8 AM – 8 AM <--> Friday, August 30th, 2019, 8 AM – 8 AM <--> Saturday, August 31st, 2019, 8 AM – 8 AM ']	Camp Shark CageH & 7:45
Beer Bong Breakfast	FANDANGO!	Other	['Monday, August 26th, 2019, 8 AM – 10:30 AM <--> Tuesday, August 27th, 2019, 8 AM – 10:30 AM <--> Wednesday, August 28th, 2019, 8 AM – 10:30 AM <--> Thursday, August 29th, 2019, 8 AM – 10:30 AM <--> Friday, August 30th, 2019, 8 AM – 10:30 AM <--> Saturday, August 31st, 2019, 8 AM – 10:30 AM <--> Sunday, September 1st, 2019, 8 AM – 10:30 AM ']	21+ Come by FANDANGO! for your morning serving of beer! Compete with others or chug at your own pace.
Addiction & The Trauma Story	Anonymous Village 5:30&Gish (Yoga Tent)	Class/Workshop	['Monday, August 26th, 2019, 8:15 AM – 9 AM <--> Wednesday, August 28th, 2019, 8:15 AM – 9 AM <--> Friday, August 30th, 2019, 8:15 AM – 9 AM ']	playafiedcharlie@gmail.com
Climbing Wall - Morning	Silicon Village	Class/Workshop	['Tuesday, August 27th, 2019, 8:30 AM – 10:30 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 10:30 AM <--> Thursday, August 29th, 2019, 8:30 AM – 10:30 AM <--> Friday, August 30th, 2019, 8:30 AM – 10:30 AM <--> Saturday, August 31st, 2019, 8:30 AM – 10:30 AM ']	http://siliconvillageburners.org/pods/joyism/
New Moon Yoga Flow/Ignite Yoga with Sianna Sherman	I Love Elephants	Class/Workshop	['Friday, August 30th, 2019, 8:30 AM – 10 AM <--> Saturday, August 31st, 2019, 8:30 AM – 10 AM ']	Experience bhakti fusion of: asana, mantra, myth, pranayama, meditation, fire & nectar sadhana, and soul alchemy. Fri-New Moon flow; Sat-Ignite flow
Demooping / Easy Run	Pink Lightning	Other	['Monday, August 26th, 2019, 8:30 AM – 9:30 AM <--> Tuesday, August 27th, 2019, 8:30 AM – 9:30 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 9:30 AM <--> Thursday, August 29th, 2019, 8:30 AM – 9:30 AM <--> Friday, August 30th, 2019, 8:30 AM – 9:30 AM <--> Saturday, August 31st, 2019, 8:30 AM – 9:30 AM <--> Sunday, September 1st, 2019, 8:30 AM – 9:30 AM ']	Easy daily morning 2-4 mile run, everyone bring a bag for moop on the run, reward at the end!
Sounding Yoga	Camp Contact	Class/Workshop	['Friday, August 30th, 2019, 8:30 AM – 10 AM ']	Move blocked energy at the throat chakra through sounding and chanting. Located at the Himalayas in Camp Contact.
Daily Yoga with special guest teachers	I Love Elephants	Class/Workshop	['Monday, August 26th, 2019, 8:30 AM – 10 AM <--> Tuesday, August 27th, 2019, 8:30 AM – 10 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 10 AM <--> Thursday, August 29th, 2019, 8:30 AM – 10 AM <--> Friday, August 30th, 2019, 8:30 AM – 10 AM <--> Saturday, August 31st, 2019, 8:30 AM – 10 AM <--> Sunday, September 1st, 2019, 8:30 AM – 10 AM ']	Heart & soul-centered approach, emphasizing breath, somatic based movement, trantra & community. rotation: Dana Damara, Hemalayaa, Saul, Amber Brovelli
Morning Yoga	Anahasana Village	Class/Workshop	['Monday, August 26th, 2019, 8:30 AM – 10 AM <--> Tuesday, August 27th, 2019, 8:30 AM – 10 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 10 AM <--> Thursday, August 29th, 2019, 8:30 AM – 10 AM <--> Friday, August 30th, 2019, 8:30 AM – 10 AM <--> Saturday, August 31st, 2019, 8:30 AM – 10 AM ']	We'll be offering a variety of Asana Yoga practices throughout the week.
Morning Movement Exploration	IDEATE	Class/Workshop	['Tuesday, August 27th, 2019, 8:30 AM – 9:30 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 9:30 AM <--> Thursday, August 29th, 2019, 8:30 AM – 9:30 AM <--> Friday, August 30th, 2019, 8:30 AM – 9:30 AM ']	http://www.ideate.org/
Moop Run Bingo	C & 6:45	Game	['Monday, August 26th, 2019, 8:30 AM – 9:15 AM <--> Wednesday, August 28th, 2019, 8:30 AM – 9:15 AM <--> Thursday, August 29th, 2019, 8:30 AM – 9:15 AM <--> Friday, August 30th, 2019, 8:30 AM – 9:15 AM <--> Saturday, August 31st, 2019, 8:30 AM – 9:15 AM <--> Sunday, September 1st, 2019, 8:30 AM – 9:15 AM ']	http://www.burningman50k.com/running-at-burning-man/
Yoga Flow w/Kelly @RhythmWave	RhythmWave	Class/Workshop	['Friday, August 30th, 2019, 8:30 AM – 9:30 AM ']	https://www.rhythmwave.org
Calm Inside	Reverbia	Class/Workshop	['Monday, August 26th, 2019, 8:45 AM – 9:30 AM <--> Tuesday, August 27th, 2019, 8:45 AM – 9:30 AM <--> Wednesday, August 28th, 2019, 8:45 AM – 9:30 AM <--> Thursday, August 29th, 2019, 8:45 AM – 9:30 AM <--> Friday, August 30th, 2019, 8:45 AM – 9:30 AM <--> Saturday, August 31st, 2019, 8:45 AM – 9:30 AM ']	https://Reverbia.org
Silent Whiskey Breakfast	Kaleidoscope Collective	Food	['Friday, August 30th, 2019, 8:45 AM – 9:45 AM ']	Wanna start your day right? Wanna start your day mired in self pity? Either way, we have the brekky to see you on your way. Shhh- don't wake the camp!
Yoga Brunch	DusTea	Class/Workshop	['Tuesday, August 27th, 2019, 9 AM – 11 AM <--> Wednesday, August 28th, 2019, 9 AM – 11 AM <--> Thursday, August 29th, 2019, 9 AM – 11 AM <--> Friday, August 30th, 2019, 9 AM – 11 AM <--> Saturday, August 31st, 2019, 9 AM – 11 AM ']	Come detox body and mind with an energizing or restorative morning yoga class, followed by a delicious brunch to nourish and recharge. Menu varies each morning. Bring a mat & plate/utensils.
Artist Open Canvas Painting	Whiskey and Dust	Other	['Monday, August 26th, 2019, 9 AM – 9 PM <--> Tuesday, August 27th, 2019, 9 AM – 9 PM <--> Wednesday, August 28th, 2019, 9 AM – 9 PM <--> Thursday, August 29th, 2019, 9 AM – 9 PM <--> Friday, August 30th, 2019, 9 AM – 9 PM <--> Saturday, August 31st, 2019, 9 AM – 9 PM ']	Join us to bring out your inner artist and paint on our open mural canvas. Free for all who would like to join. Check out supplies and acrylic paint at the bar.
Daily Sykotic Advice	9:00 and Diana	Other	['Monday, August 26th, 2019, 9 AM – 12 PM <--> Tuesday, August 27th, 2019, 9 AM – 12 PM <--> Wednesday, August 28th, 2019, 9 AM – 12 PM <--> Thursday, August 29th, 2019, 9 AM – 12 PM <--> Friday, August 30th, 2019, 9 AM – 12 PM <--> Saturday, August 31st, 2019, 9 AM – 12 PM ']	Stop by our ever-changing advice booth and ask, listen, and then continue the path of personal metamorphosis. Get some motherly advice, bad advice, or even some professional advice from the real deal Dr. The Doctor is in.
Mate Ceremony, the Gauchos way	Gauchos del Fuego	Food	['Monday, August 26th, 2019, 9 AM – 12 PM <--> Tuesday, August 27th, 2019, 9 AM – 12 PM <--> Wednesday, August 28th, 2019, 9 AM – 12 PM <--> Thursday, August 29th, 2019, 9 AM – 12 PM <--> Friday, August 30th, 2019, 9 AM – 12 PM <--> Saturday, August 31st, 2019, 9 AM – 12 PM <--> Sunday, September 1st, 2019, 9 AM – 12 PM ']	Join us every morning to enjoy a energizing mate, made from Argentinean yerba mate, served in the traditional way. You might even take a mate home!
Morning Gentle Flow Yoga with Live Music	Frozen Oasis	Class/Workshop	['Monday, August 26th, 2019, 9 AM – 10:15 AM <--> Wednesday, August 28th, 2019, 9 AM – 10:15 AM <--> Friday, August 30th, 2019, 9 AM – 10:15 AM <--> Sunday, September 1st, 2019, 9 AM – 10:15 AM ']	Stoked has been declared the new stoic. Reset and rejuvenate with gentle flow morning yoga under our plush shade structure. Our camp is home to Black Rock Philharmonic, a full symphony of professional classical musicians, and live accompaniments featuring orchestra members and special guests will be a part of the class. All skill levels welcome. All sleep levels welcome. Some mats are available, but bring your own if you have one. We like champagne. Classes every other day @ 9am - M/W/F/Su. Namaste it up.
Recycle Your Aluminum Cans!	Recycle Camp	Kid-friendly	['Monday, August 26th, 2019, 9 AM – 5 PM <--> Tuesday, August 27th, 2019, 9 AM – 5 PM <--> Wednesday, August 28th, 2019, 9 AM – 5 PM <--> Thursday, August 29th, 2019, 9 AM – 5 PM <--> Friday, August 30th, 2019, 9 AM – 5 PM <--> Saturday, August 31st, 2019, 9 AM – 5 PM <--> Sunday, September 1st, 2019, 9 AM – 5 PM ']	https://burningman.org/event/black-rock-city-guide/infrastructure/recycle-camp/
Wait, What's For Breakfast?!	CAMPWWIT	Food	['Friday, August 30th, 2019, 9 AM – 1 PM ']	campwwit@gmail.com
